Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Burrows In,Burrows Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
65,56,15,Scott,Mills,male,64,CA,US,00:00:00,02:32:00,02:32:00,04:55:00,04:57:00,06:06:00,06:10:00,08:35:00,08:41:00,09:42:00,09:43:00,13:35:00,13:39:00,16:04:00,16:07:00,18:30:00,18:43:00,21:31:00,21:39:00,23:37:00,23:44:00,25:14:00,25:24:00,30:00:00,30:09:00,34:07:00,34:16:00,37:40:00,37:43:00,39:47:00
66,57,7,Shigeru,Furuta,male,45,,JP,00:00:00,02:13:00,02:13:00,04:11:00,04:12:00,05:13:00,05:15:00,07:24:00,07:31:00,08:27:00,08:28:00,12:08:00,12:16:00,"","",17:28:00,17:48:00,20:46:00,20:59:00,22:45:00,22:51:00,24:30:00,24:44:00,30:08:00,30:22:00,34:26:00,34:26:00,37:50:00,37:50:00,40:14:00
67,10,35,Betsy,Nye,female,51,CA,US,00:00:00,02:35:00,02:35:00,04:48:00,04:50:00,05:59:00,06:02:00,08:28:00,08:42:00,09:44:00,09:48:00,13:50:00,14:03:00,16:33:00,16:37:00,19:06:00,19:20:00,"","",24:24:00,"",26:11:00,26:29:00,30:59:00,31:09:00,34:43:00,34:56:00,37:58:00,38:04:00,40:16:00
68,58,136,Jim,Harris,male,51,OH,US,00:00:00,02:51:00,02:51:00,05:31:00,05:34:00,06:56:00,07:01:00,09:44:00,10:00:00,11:05:00,11:08:00,15:10:00,15:18:00,"","","","",23:24:00,23:38:00,25:12:00,25:16:00,26:38:00,26:50:00,31:26:00,31:36:00,35:04:00,35:12:00,38:26:00,38:31:00,40:22:00
69,59,48,Julian,Smith,male,49,CO,US,00:00:00,02:38:00,02:38:00,04:58:00,05:00:00,06:13:00,06:19:00,08:48:00,09:01:00,10:01:00,10:03:00,13:50:00,14:09:00,16:24:00,16:33:00,19:00:00,19:20:00,21:50:00,22:00:00,23:44:00,23:47:00,25:20:00,25:42:00,30:54:00,31:16:00,35:05:00,35:16:00,38:34:00,38:34:00,40:56:00
70,60,139,Uwe,Herrmann,male,52,,DE,00:00:00,03:08:00,03:08:00,05:44:00,05:50:00,07:14:00,07:20:00,10:12:00,10:33:00,11:41:00,11:43:00,16:03:00,16:16:00,18:47:00,19:11:00,21:33:00,22:07:00,25:05:00,25:14:00,26:38:00,26:41:00,28:04:00,28:30:00,"","",36:18:00,36:32:00,39:17:00,39:20:00,41:13:00
71,61,25,Tom,Remkes,male,54,UT,US,00:00:00,02:43:00,02:43:00,05:12:00,05:14:00,06:30:00,06:31:00,09:11:00,09:20:00,10:31:00,10:37:00,14:35:00,14:37:00,17:10:00,17:17:00,19:42:00,19:58:00,22:37:00,22:40:00,24:17:00,24:23:00,25:52:00,26:19:00,31:10:00,31:26:00,35:26:00,35:33:00,39:00:00,39:00:00,41:15:00
72,62,33,Paul,Smith,male,59,CO,US,00:00:00,02:38:00,02:38:00,04:57:00,04:59:00,06:07:00,06:08:00,08:34:00,08:48:00,09:56:00,09:59:00,13:50:00,13:52:00,16:21:00,16:21:00,"","",22:08:00,22:15:00,"","",25:35:00,25:49:00,31:03:00,31:16:00,35:17:00,35:29:00,38:44:00,38:46:00,41:19:00
73,63,42,Kuni,Yamagata,male,62,CA,US,00:00:00,03:09:00,03:09:00,05:44:00,05:46:00,07:02:00,07:04:00,09:42:00,09:52:00,10:59:00,10:59:00,15:13:00,15:33:00,"","",20:32:00,20:54:00,23:39:00,23:48:00,"","",26:58:00,27:10:00,32:05:00,32:17:00,36:01:00,36:15:00,39:18:00,39:20:00,41:23:00
74,64,107,David,Braza,male,46,WA,US,00:00:00,02:34:00,02:34:00,04:55:00,04:58:00,06:08:00,06:12:00,08:29:00,08:39:00,09:43:00,09:46:00,13:47:00,14:03:00,16:34:00,16:41:00,19:25:00,19:41:00,22:37:00,22:41:00,24:18:00,24:23:00,"","",31:10:00,31:23:00,35:45:00,35:48:00,39:17:00,39:20:00,41:34:00
75,65,162,Denis,Mikhaylov,male,31,NJ,US,00:00:00,02:24:00,02:24:00,04:43:00,04:47:00,05:47:00,05:50:00,08:01:00,08:10:00,09:10:00,09:14:00,13:11:00,13:39:00,15:44:00,15:46:00,17:44:00,18:08:00,21:14:00,22:38:00,24:20:00,24:25:00,26:03:00,26:48:00,31:25:00,31:55:00,35:48:00,36:05:00,39:20:00,39:34:00,41:34:00
76,11,100,Clare,Abram,female,44,CA,US,00:00:00,02:49:00,02:49:00,05:25:00,05:28:00,06:48:00,06:53:00,09:39:00,09:53:00,10:55:00,10:57:00,15:12:00,15:25:00,"","","","",23:36:00,23:46:00,25:34:00,25:40:00,27:17:00,27:30:00,32:40:00,32:52:00,36:36:00,36:44:00,40:02:00,40:04:00,42:10:00
77,66,177,Greg,Salvesen,male,29,CO,US,00:00:00,02:19:00,02:19:00,04:49:00,04:51:00,06:01:00,06:04:00,08:29:00,08:40:00,09:36:00,09:40:00,13:22:00,13:41:00,16:15:00,16:20:00,"","",22:07:00,22:29:00,"","",26:13:00,26:49:00,31:44:00,33:15:00,36:54:00,37:13:00,40:17:00,40:22:00,42:14:00
78,67,153,John,Liebeskind,male,55,OR,US,00:00:00,02:49:00,02:49:00,05:17:00,05:22:00,06:35:00,06:38:00,09:18:00,09:32:00,10:35:00,10:44:00,14:47:00,15:02:00,17:32:00,17:39:00,20:20:00,20:40:00,23:36:00,23:50:00,25:29:00,25:37:00,27:11:00,27:35:00,32:35:00,32:50:00,36:28:00,36:44:00,39:56:00,40:01:00,42:22:00
79,68,110,Dave,Briggs,male,47,NV,US,00:00:00,02:41:00,02:41:00,04:50:00,04:53:00,06:00:00,06:02:00,08:24:00,08:41:00,09:42:00,09:45:00,13:40:00,13:51:00,16:25:00,16:26:00,19:17:00,19:53:00,23:31:00,24:41:00,26:14:00,26:17:00,28:00:00,28:14:00,33:08:00,33:19:00,36:50:00,36:57:00,40:10:00,40:11:00,42:29:00
80,69,28,Jeff,List,male,56,MA,US,00:00:00,02:50:00,02:50:00,05:15:00,05:20:00,06:39:00,06:45:00,09:34:00,09:45:00,10:52:00,10:54:00,15:12:00,15:26:00,"","",20:36:00,20:58:00,23:58:00,24:08:00,25:57:00,26:00:00,27:38:00,27:51:00,"","",36:49:00,36:58:00,40:15:00,40:22:00,42:35:00
81,70,115,Michael,Chu,male,32,NY,US,00:00:00,02:36:00,02:36:00,05:05:00,05:09:00,06:22:00,06:27:00,"","",10:14:00,10:16:00,14:46:00,15:17:00,"","",20:17:00,22:04:00,24:52:00,25:10:00,26:45:00,26:50:00,27:52:00,28:13:00,"","",37:01:00,37:19:00,40:28:00,40:33:00,42:54:00
82,71,145,Julian,Jamison,male,42,DC,US,00:00:00,02:43:00,02:43:00,05:11:00,05:16:00,06:38:00,06:42:00,09:26:00,09:46:00,10:47:00,10:50:00,15:10:00,15:33:00,18:36:00,18:48:00,21:21:00,21:56:00,25:05:00,25:18:00,26:54:00,27:04:00,28:18:00,29:00:00,33:30:00,34:00:00,37:13:00,37:28:00,41:21:00,41:27:00,43:06:00
83,72,21,Tyler,Curiel,male,59,TX,US,00:00:00,02:38:00,02:38:00,05:17:00,05:29:00,06:44:00,06:55:00,09:44:00,10:02:00,11:11:00,11:17:00,15:28:00,15:57:00,18:56:00,19:07:00,21:54:00,22:21:00,24:58:00,25:06:00,26:36:00,26:38:00,28:00:00,28:20:00,33:25:00,34:02:00,37:13:00,37:22:00,40:53:00,41:03:00,43:20:00
84,12,38,Suzanne,Lewis,female,40,UT,US,00:00:00,02:43:00,02:43:00,05:05:00,05:07:00,06:24:00,06:29:00,09:00:00,09:16:00,10:12:00,10:12:00,14:04:00,14:44:00,17:33:00,17:50:00,20:40:00,21:51:00,25:35:00,26:05:00,27:38:00,27:43:00,29:11:00,29:29:00,34:09:00,34:30:00,38:08:00,38:35:00,41:45:00,41:46:00,43:23:00
85,73,180,Alan,Smith,male,46,CO,US,00:00:00,03:18:00,03:18:00,06:13:00,06:14:00,07:36:00,07:37:00,10:24:00,10:28:00,11:45:00,11:45:00,16:18:00,16:24:00,19:20:00,19:28:00,22:13:00,22:45:00,26:01:00,26:01:00,27:49:00,27:53:00,29:27:00,29:35:00,34:39:00,34:49:00,38:36:00,38:36:00,41:41:00,41:46:00,43:27:00
86,74,27,Kirk,Apt,male,53,CO,US,00:00:00,02:44:00,02:44:00,05:02:00,05:08:00,06:21:00,06:30:00,09:00:00,09:29:00,10:30:00,10:34:00,14:49:00,15:21:00,17:47:00,18:03:00,20:46:00,21:20:00,23:58:00,24:14:00,25:51:00,26:00:00,27:33:00,28:30:00,33:28:00,34:01:00,37:38:00,38:00:00,41:26:00,41:47:00,43:54:00
87,13,41,Liz,Bauer,female,56,SC,US,00:00:00,03:08:00,03:08:00,06:00:00,06:01:00,07:26:00,07:27:00,10:12:00,10:17:00,11:30:00,11:31:00,16:01:00,16:19:00,"","",22:13:00,22:35:00,26:07:00,26:10:00,27:55:00,27:56:00,29:17:00,29:24:00,34:21:00,34:29:00,38:09:00,38:11:00,41:43:00,41:45:00,43:56:00
88,75,30,Phil,Wiley,male,54,CO,US,00:00:00,02:52:00,02:52:00,05:11:00,05:14:00,06:28:00,06:30:00,09:10:00,09:27:00,10:39:00,10:41:00,14:37:00,15:00:00,17:26:00,17:34:00,20:24:00,20:27:00,23:52:00,24:12:00,25:52:00,25:55:00,27:34:00,28:34:00,33:17:00,33:35:00,37:15:00,37:30:00,41:22:00,41:33:00,43:56:00
89,76,186,Mike,Weigand,male,41,VT,US,00:00:00,02:50:00,02:50:00,05:11:00,05:14:00,06:23:00,06:27:00,08:52:00,09:11:00,10:09:00,10:11:00,14:14:00,14:31:00,17:14:00,17:24:00,19:58:00,20:39:00,23:53:00,24:08:00,25:50:00,26:00:00,27:33:00,28:25:00,33:09:00,33:47:00,37:30:00,37:45:00,41:21:00,41:24:00,43:58:00
90,77,39,Ken,Ward,male,58,OR,US,00:00:00,02:45:00,02:45:00,05:12:00,05:15:00,06:35:00,06:39:00,09:21:00,09:36:00,10:41:00,10:45:00,15:07:00,15:27:00,18:05:00,18:14:00,20:53:00,21:15:00,24:00:00,24:10:00,25:55:00,26:00:00,27:43:00,28:02:00,33:35:00,33:52:00,37:31:00,37:43:00,41:27:00,41:36:00,44:01:00
91,78,29,Bill,Geist,male,44,NM,US,00:00:00,02:42:00,02:42:00,04:59:00,05:01:00,06:13:00,06:16:00,08:41:00,09:07:00,10:10:00,10:12:00,14:01:00,14:26:00,17:06:00,17:13:00,19:51:00,20:49:00,23:55:00,24:10:00,"","",27:33:00,28:15:00,33:19:00,33:53:00,37:38:00,37:59:00,41:45:00,41:56:00,44:05:00
92,79,23,Sean,Cunniff,male,43,NM,US,00:00:00,03:05:00,03:05:00,05:37:00,05:43:00,07:03:00,07:08:00,09:57:00,10:16:00,11:25:00,11:30:00,15:48:00,16:13:00,18:41:00,18:52:00,21:33:00,22:02:00,24:51:00,25:10:00,"","",28:23:00,28:52:00,33:27:00,33:59:00,37:40:00,38:00:00,41:31:00,41:48:00,44:21:00
93,80,37,Stan,Ferguson,male,52,AR,US,00:00:00,02:37:00,02:37:00,04:58:00,05:00:00,06:24:00,06:27:00,08:52:00,09:04:00,10:08:00,10:16:00,14:29:00,15:03:00,18:06:00,18:39:00,21:11:00,21:56:00,24:24:00,24:29:00,26:28:00,26:33:00,28:03:00,28:27:00,33:33:00,33:46:00,37:46:00,37:56:00,42:13:00,42:26:00,44:26:00
94,81,159,Steve,Mcclung,male,53,CO,US,00:00:00,03:12:00,03:12:00,06:01:00,06:09:00,07:31:00,07:34:00,10:35:00,10:43:00,11:53:00,11:58:00,16:15:00,16:41:00,19:17:00,19:29:00,22:20:00,23:21:00,26:10:00,26:20:00,28:06:00,28:15:00,29:42:00,30:03:00,34:46:00,35:15:00,38:56:00,39:24:00,42:37:00,42:43:00,44:30:00
95,14,132,Margaret,Gordon,female,40,NM,US,00:00:00,02:49:00,02:49:00,05:12:00,05:15:00,06:29:00,06:31:00,09:05:00,09:24:00,10:27:00,10:30:00,14:48:00,15:02:00,"","",20:27:00,21:11:00,24:09:00,24:17:00,25:59:00,26:05:00,28:54:00,29:31:00,34:27:00,34:50:00,38:33:00,38:41:00,42:15:00,42:25:00,44:48:00
96,15,167,Barbara,Olmer,female,40,CO,US,00:00:00,02:46:00,02:46:00,05:18:00,05:21:00,06:42:00,06:46:00,09:15:00,09:30:00,10:40:00,10:41:00,14:51:00,15:14:00,"","",20:27:00,20:48:00,23:41:00,24:07:00,25:41:00,25:45:00,27:29:00,27:46:00,"","",38:00:00,38:24:00,42:13:00,42:20:00,44:56:00
97,82,46,Scott,Olmer,male,44,CO,US,00:00:00,02:47:00,02:47:00,05:18:00,05:21:00,06:42:00,06:46:00,09:15:00,09:30:00,10:40:00,10:41:00,14:57:00,15:14:00,"","","","",24:02:00,24:07:00,25:41:00,25:45:00,27:29:00,27:45:00,33:21:00,33:48:00,38:00:00,38:24:00,42:13:00,42:20:00,44:56:00
98,83,52,Ryan,Martin,male,46,CO,US,00:00:00,02:37:00,02:37:00,04:52:00,04:58:00,06:15:00,06:19:00,08:51:00,09:10:00,10:11:00,10:13:00,14:47:00,14:59:00,"","","","",23:41:00,23:51:00,25:45:00,25:47:00,27:37:00,28:01:00,33:51:00,34:12:00,38:29:00,38:42:00,42:17:00,42:23:00,44:59:00
99,84,176,Brian,Ricketts,male,37,TX,US,00:00:00,02:46:00,02:46:00,05:39:00,05:43:00,07:05:00,07:06:00,09:45:00,10:09:00,11:15:00,11:17:00,16:04:00,16:21:00,18:53:00,18:58:00,21:48:00,22:15:00,25:08:00,25:20:00,27:11:00,27:16:00,29:08:00,29:29:00,34:51:00,34:55:00,39:04:00,39:16:00,42:54:00,43:00:00,45:20:00
100,85,40,Chris,Twiggs,male,45,FL,US,00:00:00,03:06:00,03:06:00,05:48:00,05:51:00,07:08:00,07:09:00,09:57:00,10:08:00,11:19:00,11:21:00,16:29:00,16:48:00,19:22:00,19:25:00,22:02:00,22:17:00,25:23:00,25:29:00,27:26:00,27:34:00,28:55:00,29:07:00,34:14:00,34:34:00,38:57:00,39:10:00,43:04:00,43:06:00,45:31:00
101,86,131,Harris,Goodman,male,50,CA,US,00:00:00,03:05:00,03:05:00,05:42:00,05:47:00,07:04:00,07:11:00,09:55:00,10:16:00,11:18:00,11:20:00,15:48:00,16:06:00,18:47:00,19:11:00,22:17:00,22:46:00,25:52:00,26:04:00,27:57:00,28:02:00,29:57:00,30:27:00,35:13:00,35:27:00,39:24:00,39:46:00,43:25:00,43:32:00,45:43:00
102,87,58,Roger,Kane,male,58,CO,US,00:00:00,02:42:00,02:42:00,05:15:00,05:21:00,06:43:00,06:55:00,09:47:00,10:08:00,11:15:00,11:18:00,15:39:00,16:15:00,18:47:00,19:06:00,22:15:00,22:57:00,25:52:00,26:04:00,27:38:00,27:40:00,29:26:00,30:02:00,34:55:00,35:13:00,39:36:00,39:53:00,43:07:00,43:20:00,45:56:00
103,88,60,Robert,Andrulis,male,48,AZ,US,00:00:00,03:07:00,03:07:00,05:48:00,05:56:00,07:20:00,07:27:00,10:13:00,10:27:00,11:40:00,11:44:00,16:36:00,16:47:00,"","","","","","",27:52:00,27:54:00,"","",35:15:00,35:45:00,39:35:00,40:06:00,43:40:00,43:45:00,46:01:00
104,89,190,Dave,Yeakel,male,51,VA,US,00:00:00,02:51:00,02:51:00,05:44:00,05:48:00,07:09:00,07:13:00,10:02:00,10:19:00,11:36:00,11:39:00,16:40:00,16:58:00,"","","","",26:19:00,26:32:00,28:30:00,28:38:00,"","",35:45:00,35:57:00,40:25:00,40:35:00,44:12:00,44:25:00,46:36:00
105,90,54,Levi,Burford,male,34,NH,US,00:00:00,02:49:00,02:49:00,05:25:00,05:28:00,06:50:00,06:58:00,09:37:00,09:52:00,11:07:00,11:17:00,16:03:00,16:36:00,"","","","",26:02:00,26:19:00,28:07:00,28:19:00,30:00:00,30:39:00,35:47:00,36:19:00,40:13:00,40:35:00,44:12:00,44:25:00,46:46:00
106,91,157,Shane,Martin,male,48,UT,US,00:00:00,02:40:00,02:40:00,04:58:00,05:07:00,06:20:00,06:24:00,08:54:00,09:17:00,10:31:00,10:38:00,14:11:00,14:43:00,17:14:00,18:52:00,21:34:00,23:19:00,26:00:00,26:07:00,27:38:00,27:40:00,29:44:00,29:56:00,34:44:00,35:23:00,39:32:00,39:46:00,43:24:00,44:48:00,46:48:00
107,92,43,Chad,Piala,male,39,CO,US,00:00:00,03:03:00,03:03:00,05:41:00,05:50:00,07:09:00,07:13:00,10:02:00,10:15:00,11:21:00,11:27:00,16:07:00,16:16:00,19:17:00,19:45:00,22:23:00,23:01:00,26:07:00,26:21:00,28:05:00,28:06:00,29:59:00,30:20:00,36:00:00,36:14:00,40:32:00,40:44:00,44:24:00,44:41:00,46:57:00
108,93,57,Pat,Homelvig,male,56,CO,US,00:00:00,03:05:00,03:05:00,05:54:00,05:55:00,07:26:00,07:27:00,10:13:00,10:27:00,11:45:00,11:46:00,16:25:00,16:25:00,"","","","",25:48:00,25:54:00,27:36:00,27:43:00,29:29:00,29:44:00,34:58:00,35:25:00,39:51:00,40:05:00,44:19:00,44:29:00,47:03:00
109,94,47,Jeff,Jones,male,53,AZ,US,00:00:00,03:23:00,03:23:00,06:14:00,06:17:00,07:43:00,07:46:00,10:37:00,10:46:00,"","",16:32:00,16:52:00,"","","","",26:55:00,27:08:00,"","",30:53:00,31:15:00,36:00:00,36:17:00,40:29:00,40:47:00,44:23:00,44:31:00,47:14:00
110,95,103,Stevie,Ansell,male,47,CA,US,00:00:00,03:05:00,03:05:00,05:54:00,05:57:00,07:25:00,07:27:00,10:10:00,10:20:00,11:36:00,11:40:00,16:15:00,16:32:00,19:20:00,19:45:00,22:13:00,22:35:00,25:48:00,25:56:00,27:47:00,27:50:00,29:18:00,29:37:00,33:15:00,35:31:00,39:57:00,40:06:00,44:22:00,44:28:00,47:17:00
111,96,156,Joey,Luther,male,36,CO,US,00:00:00,03:05:00,03:05:00,05:54:00,06:01:00,07:27:00,07:28:00,10:26:00,10:46:00,11:56:00,12:05:00,17:05:00,17:30:00,21:04:00,21:16:00,24:07:00,24:35:00,27:13:00,27:22:00,29:04:00,29:19:00,30:49:00,31:08:00,36:29:00,36:50:00,41:15:00,41:37:00,45:28:00,45:30:00,47:22:00
112,97,55,Edward,Sandor,male,33,MN,US,00:00:00,02:45:00,02:45:00,05:45:00,05:49:00,07:16:00,07:21:00,10:11:00,10:25:00,11:40:00,11:47:00,18:14:00,18:31:00,"","","","",27:41:00,27:46:00,29:44:00,29:47:00,31:34:00,31:51:00,"","",41:19:00,41:29:00,45:13:00,45:16:00,47:27:00
113,16,151,Valeria,La Rosa,female,40,MN,US,00:00:00,03:08:00,03:08:00,06:14:00,06:22:00,07:48:00,07:57:00,11:09:00,11:23:00,12:34:00,12:37:00,18:14:00,19:06:00,"","","","",28:40:00,28:45:00,30:48:00,30:55:00,32:28:00,32:37:00,38:15:00,38:30:00,42:15:00,42:23:00,45:27:00,45:28:00,47:29:00
114,98,193,Cory,Johnson,male,51,UT,US,00:00:00,02:43:00,02:44:00,05:30:00,05:33:00,06:55:00,06:59:00,09:48:00,09:54:00,11:27:00,11:30:00,17:53:00,18:08:00,"","",25:00:00,25:08:00,28:12:00,28:20:00,30:15:00,30:20:00,32:17:00,32:32:00,37:58:00,38:05:00,42:12:00,42:16:00,45:27:00,45:28:00,47:30:00
115,17,144,Sheila,Huss,female,40,CO,US,00:00:00,03:16:00,03:16:00,06:08:00,06:12:00,07:40:00,07:42:00,10:50:00,11:02:00,12:20:00,12:22:00,17:25:00,17:38:00,"","","","",27:19:00,27:21:00,"","",31:11:00,31:21:00,36:24:00,36:27:00,40:58:00,41:02:00,45:26:00,45:26:00,47:31:00
116,99,59,Bob,Combs,male,48,CO,US,00:00:00,02:51:00,02:51:00,05:31:00,05:33:00,06:57:00,07:02:00,09:46:00,10:02:00,11:13:00,11:15:00,16:07:00,16:13:00,"","","","",26:14:00,26:23:00,28:23:00,28:26:00,30:08:00,30:24:00,35:55:00,36:07:00,41:21:00,41:34:00,45:13:00,45:17:00,47:33:00
117,100,158,Kevin,Martin,male,44,OH,US,00:00:00,02:43:00,02:43:00,05:31:00,05:39:00,06:56:00,07:00:00,09:35:00,10:00:00,11:05:00,11:08:00,15:08:00,15:23:00,"","",20:59:00,22:21:00,"","",26:57:00,26:58:00,30:19:00,30:45:00,35:55:00,36:07:00,41:21:00,41:34:00,45:13:00,45:17:00,47:33:00
118,101,142,James,Holland,male,39,TN,US,00:00:00,03:06:00,03:06:00,06:09:00,06:14:00,07:36:00,07:38:00,10:40:00,10:52:00,"","",17:25:00,17:40:00,"","","","",27:23:00,27:30:00,"","",31:30:00,31:40:00,"","",41:26:00,41:34:00,45:15:00,45:19:00,47:33:00
119,102,168,Raymond,Overson,male,43,UT,US,00:00:00,03:14:00,03:14:00,05:56:00,06:08:00,07:27:00,07:30:00,10:15:00,10:35:00,11:45:00,11:45:00,16:18:00,16:53:00,"","","","",26:48:00,26:58:00,"","",30:49:00,31:14:00,37:05:00,37:42:00,41:47:00,41:56:00,45:30:00,45:32:00,47:37:00
120,103,51,Mark,Heaphy,male,53,MT,US,00:00:00,03:08:00,03:08:00,05:57:00,05:59:00,07:26:00,07:27:00,10:08:00,10:27:00,11:35:00,11:36:00,16:15:00,16:40:00,"","","","",27:23:00,27:27:00,"","",30:57:00,31:14:00,37:23:00,38:07:00,42:28:00,42:38:00,46:12:00,46:12:00,47:47:00
121,104,179,Jonathan,Shark,male,37,WA,US,00:00:00,03:14:00,03:14:00,06:01:00,06:08:00,07:26:00,07:30:00,10:15:00,10:34:00,11:47:00,11:48:00,16:44:00,17:03:00,"","","","",27:19:00,27:24:00,"","",31:45:00,32:15:00,38:00:00,38:06:00,42:25:00,42:34:00,45:58:00,46:00:00,47:50:00
122,105,112,Noe,Castanon,male,45,,MX,00:00:00,03:19:00,03:19:00,06:22:00,06:25:00,07:49:00,07:57:00,10:58:00,11:24:00,12:28:00,12:33:00,17:48:00,18:29:00,"","","","","","","","",31:56:00,32:35:00,37:41:00,37:47:00,41:40:00,41:56:00,45:28:00,45:28:00,47:54:00
123,106,122,Bogie,Dumitrescu,male,41,CO,US,00:00:00,03:05:00,03:05:00,05:41:00,06:00:00,07:25:00,07:26:00,10:29:00,10:58:00,"","","","",17:37:00,17:38:00,20:24:00,20:30:00,"","",28:40:00,28:44:00,29:55:00,30:27:00,36:15:00,36:30:00,41:36:00,41:44:00,45:58:00,46:00:00,47:59:00
124,107,49,Jean Francois,Geiss,male,62,,FR,00:00:00,02:48:00,02:48:00,05:22:00,05:28:00,06:48:00,06:53:00,09:40:00,09:52:00,11:00:00,11:00:00,15:51:00,16:12:00,18:58:00,19:09:00,22:16:00,22:56:00,26:05:00,26:13:00,28:08:00,28:15:00,30:08:00,30:26:00,36:05:00,36:23:00,41:08:00,41:20:00,45:35:00,45:35:00,""
125,18,53,Patty,Bryant,female,56,CA,US,00:00:00,02:58:00,02:58:00,05:47:00,05:53:00,07:12:00,07:14:00,10:10:00,10:35:00,11:44:00,11:47:00,16:19:00,16:22:00,"","","","","","",27:17:00,27:18:00,31:37:00,32:07:00,37:43:00,38:04:00,42:58:00,43:02:00,46:13:00,46:13:00,""
126,108,32,Randy,Isler,male,58,NM,US,00:00:00,03:05:00,03:05:00,05:53:00,05:59:00,07:26:00,07:31:00,10:29:00,10:41:00,11:57:00,12:02:00,17:06:00,17:13:00,"","","","",27:29:00,27:39:00,"","",31:13:00,31:17:00,"","",42:06:00,42:09:00,46:17:00,46:18:00,""
127,109,135,Paul,Gross,male,51,CO,US,00:00:00,03:05:00,03:05:00,05:55:00,06:03:00,07:25:00,07:29:00,10:21:00,10:39:00,11:47:00,11:50:00,16:44:00,17:19:00,"","","","",27:59:00,28:12:00,30:30:00,30:48:00,31:51:00,33:15:00,38:28:00,38:49:00,43:12:00,43:18:00,46:48:00,46:48:00,""
128,110,149,Jason,Koop,male,37,CO,US,00:00:00,02:06:00,02:06:00,03:46:00,03:47:00,04:37:00,04:37:00,06:28:00,06:30:00,07:19:00,07:20:00,10:20:00,10:24:00,"","","","",16:28:00,16:48:00,18:23:00,18:26:00,19:51:00,20:17:00,29:17:00,29:17:00,"","","","",""
129,111,109,Dan,Brenden,male,64,AZ,US,00:00:00,02:54:00,02:54:00,05:37:00,05:41:00,07:00:00,07:03:00,09:44:00,09:56:00,11:02:00,11:04:00,17:05:00,17:34:00,"","","","",27:47:00,27:53:00,"","",31:33:00,31:39:00,37:45:00,37:45:00,"","","","",""
130,112,171,George,Peterka,male,55,AR,US,00:00:00,03:24:00,03:24:00,06:37:00,06:40:00,08:04:00,08:07:00,10:53:00,11:02:00,"","",17:04:00,17:13:00,"","","","",26:08:00,26:17:00,28:20:00,28:28:00,30:22:00,30:44:00,37:34:00,38:17:00,"","","","",""
131,19,150,Deby,Kumasaka,female,51,WA,US,00:00:00,03:10:00,03:10:00,06:05:00,06:09:00,07:32:00,07:34:00,10:33:00,10:44:00,"","",16:44:00,17:01:00,"","","","",27:12:00,27:21:00,"","",31:16:00,31:38:00,38:21:00,38:21:00,"","","","",""
132,113,123,Michael,Ehrlich,male,52,CO,US,00:00:00,02:54:00,02:54:00,05:42:00,05:45:00,07:07:00,07:11:00,10:17:00,10:26:00,11:50:00,11:50:00,16:49:00,17:10:00,"","","","",29:24:00,29:30:00,"","","","","","","","","","",""
133,114,108,Drew,Brazier,male,31,CO,US,00:00:00,03:13:00,03:13:00,06:34:00,06:40:00,08:04:00,08:10:00,11:11:00,11:22:00,12:39:00,12:44:00,18:37:00,18:51:00,"","",25:19:00,26:09:00,29:52:00,30:11:00,"","","","","","","","","","",""
134,115,113,Al,Catalano,male,63,MA,US,00:00:00,03:21:00,03:21:00,06:16:00,06:20:00,07:51:00,07:55:00,11:09:00,11:23:00,12:34:00,12:35:00,18:17:00,19:01:00,"","","","",30:32:00,30:32:00,"","","","","","","","","","",""
135,116,134,Brett,Gosney,male,56,CO,US,00:00:00,02:24:00,02:24:00,04:22:00,04:25:00,05:25:00,05:27:00,07:39:00,07:45:00,08:44:00,08:46:00,12:44:00,13:10:00,15:30:00,15:37:00,17:46:00,17:46:00,"","","","","","","","","","","","",""
136,117,165,Miles,Ohlrich,male,46,WA,US,00:00:00,02:24:00,02:24:00,04:55:00,04:58:00,06:02:00,06:11:00,08:39:00,08:47:00,09:47:00,09:50:00,13:49:00,14:02:00,16:35:00,16:41:00,19:31:00,19:31:00,"","","","","","","","","","","","",""
137,118,111,Mike,Burke,male,65,OR,US,00:00:00,02:54:00,02:54:00,05:11:00,05:16:00,06:27:00,06:31:00,09:02:00,09:07:00,10:12:00,10:13:00,14:23:00,14:29:00,17:10:00,17:15:00,20:37:00,20:37:00,"","","","","","","","","","","","",""
138,119,154,Henry,Liu,male,40,CA,US,00:00:00,03:06:00,03:06:00,05:41:00,05:46:00,07:05:00,07:10:00,09:55:00,10:05:00,11:24:00,11:29:00,16:30:00,16:53:00,"","",20:53:00,21:04:00,"","","","","","","","","","","","",""
139,120,192,Tom,Simonds,male,61,VA,US,00:00:00,03:06:00,03:06:00,06:03:00,06:12:00,07:39:00,07:49:00,10:55:00,11:11:00,12:31:00,12:44:00,18:41:00,19:03:00,"","",22:29:00,24:41:00,"","","","","","","","","","","","",""
